Date,Discharge,Waterlevel,Precipitation,max_temperature,min_temperature,max_humidity,min_humidity
2000-12-29,33.7,1.01,0.0,21.5,5.0,92.1,65.5
2000-12-30,33.7,1.01,0.0,18.5,5.3,92.1,86.1
2000-12-31,33.0,0.0,0.0,20.1,7.6,95.2,91.2
2001-01-01,34.6,1.02,0.2,21.6,6.2,97.3,73.4
2001-01-02,35.5,1.04,0.0,18.0,6.8,95.0,89.2
2001-01-03,34.4,1.02,0.0,19.6,7.8,100.0,80.2
2001-01-04,33.7,1.01,0.0,19.6,6.6,97.4,95.0
2001-01-05,33.7,1.01,0.0,13.2,7.2,92.1,90.0
2001-01-06,32.4,0.99,0.0,13.2,6.5,94.5,90.2
2001-01-07,32.4,0.99,0.0,18.6,2.0,93.9,71.9
2001-01-08,32.4,0.99,0.0,18.7,1.5,96.8,73.7
2001-01-09,31.8,0.98,0.0,19.4,0.0,93.6,63.4
2001-01-10,31.8,0.98,0.0,18.8,1.6,97.0,65.0
2001-01-11,31.2,0.97,0.0,18.2,0.5,96.6,64.4
2001-01-12,31.2,0.97,0.0,19.4,0.4,90.5,64.6
2001-01-13,31.2,0.97,0.0,19.6,1.5,90.8,62.6
2001-01-14,30.6,0.96,0.0,19.8,2.2,90.8,65.4
2001-01-15,30.6,0.96,0.0,20.3,3.5,97.0,71.6
2001-01-16,30.0,0.95,0.0,21.7,3.5,91.6,61.9
2001-01-17,30.0,0.95,0.0,22.8,3.6,94.3,72.7
2001-01-18,29.4,0.94,0.0,22.1,4.0,91.6,72.2
2001-01-19,29.4,0.94,0.0,22.5,4.0,91.7,72.5
2001-01-20,28.8,0.93,0.0,22.2,4.3,91.7,65.5
2001-01-21,28.2,0.92,0.0,23.6,3.6,94.4,73.1
2001-01-22,28.2,0.92,0.0,23.8,4.5,89.4,67.9
2001-01-23,27.6,0.91,0.0,22.5,5.0,92.2,46.7
2001-01-24,27.6,0.91,0.0,20.4,5.5,82.5,59.1
2001-01-25,27.6,0.91,0.0,18.5,3.0,88.4,70.0
2001-01-26,27.6,0.91,0.0,19.6,3.0,93.8,75.8
2001-01-27,27.6,0.91,0.0,19.7,3.5,94.2,74.3
2001-01-28,27.6,0.91,0.0,21.5,5.1,94.6,72.5
